Product Name,Pack,Code,barcode1,Stock Level,Weeks of Stock (supplied),Stock Status,On Order,binLocation
A.SOLAIRE SENSITIVE ADVANCED INVISIBLE PROTECT MIST SPF50+ ,150ML,8846602,3.60054E+12,0,0.0,Red,False,BBQ-03
A.SOLAIRE SENSITIVE ADVANCED PROTECTION LOTION SPF50+,50ML,8780207,3.60054E+12,8,2.67,Green,True,BBM-04
A.SOLAIRE ULTRA-HYDRATING SUN CREAM SPF20 - 200ML,200ML,145599,3.60054E+12,0,0.0,Red,True,BBB-03
AA (A) CK ONE EDP 50ML &amp; SHOWERGEL 2PC SET (P24)***,SET,8820714,3.61631E+12,0,0.0,Red,False,BAZL3
AA (A) CK ONE EDT 50ML &amp; SHOWERGEL 2PC SET (P24)***,SET,8820706,3.61631E+12,0,0.0,Red,False,BAZJ5
AA ADIDAS GET COMFY 100ML EDP + 100ML SHOWERGEL (P24),2PCE,8823155,3.61631E+12,2,8.0,Green,False,BAZG4
AA ALIEN BASIC 30ML EDP  3 PC SET (P22),SET,8705014,3.61427E+12,0,0.0,Red,False,
AA ARIANA GRANDE CLOUD 30ML EDP + 10ML PS (P24),2PCE,8822587,8.10102E+11,0,0.0,Red,False,BAZN5
AA ARIANA GRANDE CLOUD 50ML EDP + 7.5ML TS (P24),2PCE,8822595,8.10102E+11,0,0.0,Red,False,BAZN4
AA Ariana Grande REM 50ml Gift Set 21,50ML,8711707,5.05046E+12,0,0.0,Red,False,BAZN4
AA ARIANA GRANDE SWEET LIKE CANDY 30ML EDP + 10ML PS (P24),2PCE,8822629,8.10102E+11,0,0.0,Red,False,BAZJ3
AA ARIANA GRANDE THANK U NEXT 30ML EDP + 10ML PS (P24),2PCE,8822611,8.10102E+11,0,0.0,Red,False,BAZH3
AA ARIANA GRANDE TRIO CRACKER MINIS 7.5ML (P24),3X7.5ML,8822603,8.10102E+11,11,11.0,Green,False,BAZN3
