Product Name,Pack,Code,Trade,Stock Level,Stock Value,Supplied Qty,Avg Supplied Qty Per Week,Avg Supplied Value Per Week,Weeks of Stock (supplied),Supplied Inventory Ratio
ADIDAS VIBES GET COMFY EDP 100ML,100ML,8823395,9.42,4,37.68,0,0,0,4,0
ADIDAS VIBES HAPPY FEELS EDP 100ML,100ML,8823387,9.42,4,37.68,0,0,0,4,0
ADIPINE XL 60MG TABLETS,28,2580587,6.82,0,0,0,0,0,0,0
ADIZEM-SR 120MG CAPSULES,56,909804,6,38,228,2,0.5,3,76,0.05
ADIZEM-SR 180MG CAPSULES,56,909846,13.7,21,287.7,2,0.5,6.85,42,0.09
ADIZEM-SR 90MG CAPSULES,56,909796,8.2,0,0,0,0,0,0,0
ADIZEM-XL 120MG CAPSULES,28,2406411,9.06,0,0,0,0,0,0,0
ADIZEM-XL 180MG CAPSULES,28,2406403,10.38,0,0,0,0,0,0,0
ADIZEM-XL 240MG CAPSULES,28,2406387,11.05,0,0,0,0,0,0,0
ADIZEM-XL 300MG CAPSULES,28,2406395,8.8,0,0,0,0,0,0,0
ADOPORT 0.5MG CAPSULES,50,3563236,42.92,0,0,0,0,0,0,0
ADOPORT 1MG CAPSULES,100,3563244,111.36,0,0,0,0,0,0,0
AEROCHAMBER+ CHILD DEVICE &amp; MASK,1,2321628,7.5,0,0,0,0,0,0,0
AFTER BITE TREATMENT 14ML ,14ML,60707,2.18,0,0,0,0,0,0,0
AGENT PROV APHRODISIAQUE EDP 80ML,80ML,9936915,9.95,10,99.5,0,0,0,10,0
AGOMELATINE 25MG TABS,28,1229616,7.99,31,247.69,38,9.5,75.9,3.26,0.78
AIRWICK PURE AEROSOL COTTON,250ML,9784695,1.8,24,43.2,48,12,21.6,2,4
AIRWICK PURE AEROSOL SPRING DELIGHT,250ML,9766866,1.8,42,75.6,30,7.5,13.5,5.6,0.71
ALBERTO BALSAM CONDITIONER APPLE 300ML,300ML,8849408,0.74,102,75.48,30,7.5,5.55,13.6,0.59
ALBERTO BALSAM CONDITIONER COCONUT 300ML,300ML,8849416,0.74,0,0,0,0,0,0,0
ALBERTO BALSAM CONDITIONER COCONUT***,350ML,9930827,0.74,114,84.36,126,31.5,23.31,3.62,2.21
ALBERTO BALSAM CONDITIONER RASPBERRY 300ML,300ML,8849424,0.74,72,53.28,48,12,8.88,6,1.33
ALBERTO BALSAM CONDITIONER TEA TREE 300ML,300ML,8849432,0.74,78,57.72,42,10.5,7.77,7.43,1.08
