Product Name,Pack,Code,Trade,Stock Level,Stock Value,Supplied Qty,Avg Supplied Qty Per Week,Avg Supplied Value Per Week,Weeks of Stock (supplied),Supplied Inventory Ratio
LED GINGER BREAD SCENE SANTA 37.5CM (C24),XM12587,8821191,12.59,44,553.96,0,0,0,44,0
LED GINGER BREAD SCENE SNOMWAN 37.5CM (C24),XM12588,8821175,12.59,39,491.01,0,0,0,39,0
LED LIGHT CELESTIAL BLUE (C24),XM10760,8795031,3.59,30,107.7,0,0,0,30,0
LED LIGHT TUBE - HEISTA 20CM (C22),HE1536,8727869,5.59,0,0,0,0,0,0,0
LED LIGHT TUBE - HEISTA 30CM (C22),HE1537,8727877,7.99,4,31.96,0,0,0,4,0
LED LIGHT TUBE WITH SNOWFLAKE DESIGN - MEDIUM (C24),XM11825,8821357,4.49,13,58.37,0,0,0,13,0
LED LIGHT UP CHRISTMAS HOUSE ORNAMENT WITH WOOD FINISH (C24),XM12411,8821241,10.79,1,10.79,0,0,0,1,0
LED LIGHT UP GLASS - BELIEVE IN MAGIC (C23),XM10093,8759987,2.93,4,11.72,0,0,0,4,0
LED LIGHT UP GLASS - DREAM OF A WHITE CHRISTMAS (C23),XM9273,8729642,3.83,72,275.76,0,0,0,72,0
LED LIGHT UP GLASS - THE MOST WONDERFUL TIME OF THE YEAR (C23),XM9274,8729659,3.83,1,3.83,0,0,0,1,0
LED LIGHT UP REINDEER ORNAMENT (C24),XM12413,8821209,11.69,31,362.39,0,0,0,31,0
LED LIGHT UP SANTA ORNAMENT (C24),XM12412,8821225,11.69,26,303.94,0,0,0,26,0
LED REINDEER WITH LIGHTS - WOOD FINISH (C24),XM12404,8821258,14.39,9,129.51,0,0,0,9,0
LED SANTA WITH LIGHTS - WOOD FINISH (C24),XM12402,8821340,14.39,8,115.12,0,0,0,8,0
LED SNOWMAN WITH LIGHTS - WOOD FINISH (C24),XM12403,8821324,14.39,6,86.34,0,0,0,6,0
LED WINTER WONDERLAND LIGHT UP TUBE - SILVER (C23),L14,8796724,6.08,48,291.84,0,0,0,48,0
LEE STAFFORD BLOW &amp; GO PRO POWER DRYER (21),1,8721953,18.74,2,37.48,0,0,0,2,0
LEE STAFFORD CURL UP &amp; DRY SINGLE STEP DRYER &amp; STYLER (21),1,8721938,18.74,2,37.48,0,0,0,2,0
LEFLUNOMIDE TABS 10MG,30,1159474,1.16,54,62.64,41,10.25,13.9,5.27,0.75
LEFLUNOMIDE TABS 20MG,30,1159482,1.2,43,51.6,38,9.5,11.4,4.53,0.84
LEG BAG LNG LONG TUBE 500MLX10 P500L,10,2996791,26.51,0,0,0,0,0,0,0
LEI LASH STRIP LASH APPLICATOR TWEEZER***,1,9868043,0.01,62,0.62,1,0.25,0,248,0.02
LEI LASHES 5 PACK STYLE TWO***,,9829177,3.59,3,10.77,0,0,0,3,0
LEI LASHES TRIO PACK***,TRIO,9868035,5,16,80,0,0,0,16,0
LEMSIP COLD + FLU LEMON SACHETS,10,158030,2.61,43,112.23,28,7,18.27,6.14,0.53
LEMSIP DRY COUGH &amp; SORE THROAT,180ML,4020731,4.39,29,127.31,3,0.75,3.29,38.67,0.1
LEMSIP MAX COLD + FLU B/CURRANT (10),10,3168226,3.57,84,299.88,56,14,49.98,6,0.68
LEMSIP MAX COLD + FLU CAPSULES LRG,16,2531101,2.88,86,247.68,33,8.25,23.76,10.42,0.32
LEMSIP MAX COLD + FLU CAPSULES SML,8,2531119,2.1,5,10.5,28,7,14.7,0.71,1.47
LEMSIP MAX COLD + FLU LEMON  (5s),5,2338556,2.81,199,559.19,19,4.75,13.34,41.89,0.09
LEMSIP MAX COLD + FLU LEMON (10s),10,2241461,3.57,84,299.88,34,8.5,28.92,9.88,0.41
LEMSIP MAX DAY &amp; NIGHT CAPSULES,16,3061702,3.57,64,228.48,51,12.75,45.51,5.02,0.73
LENOR  AW24 FABRIC CONDITIONER MRS HINCH WHITE MUSK &amp; GOLDEN MAPLE 1584ML***,1584ML,8827032,2.59,0,0,0,0,0,0,0
LENOR AW24 FABRIC ENHANCER BEADS MRS HINCH COSY WHITE MUSK &amp; GOLDEN MAPLE 176G 13WASH***,176G,8827024,2.33,0,0,0,0,0,0,0
LENOR FABRIC CONDITIONER - GOLD ORCHID 26 WASHES,858ML,9948282,1.27,28,35.56,126,31.5,40,0.89,1.43
LENOR FABRIC CONDITIONER - OCEAN ESCAPE 26WASHES,858ML,9948274,1.27,60,76.2,114,28.5,36.19,2.11,1.06
LENOR FABRIC CONDITIONER SRING AWAKENING 80W,2.64L,8843286,2.83,0,0,71,17.75,50.23,0,2.25
LENOR FABRIC CONDITIONER SUMMER BREEZE 80,2.64L,8843278,2.83,94,266.02,52,13,36.79,7.23,0.44
LENOR INWASH SCENT BOOSTER SPRING AWAKENING BEADS 41WASH,495G,8843302,4.66,0,0,27,6.75,31.45,0,2.57
LENOR MRS HINCH SS25 WILDFLOWER FABRIC CONDITIONING  BEADS 155G***,155G,8840704,2.33,195,454.35,111,27.75,64.65,7.03,0.46
LENOR MRS HINCH SS25 WILDFLOWER FABRIC CONDITIONING LIQUID 1.65 L 50W***,1.65L,8840712,2.64,307,810.48,140,35,92.4,8.77,0.38
LENOR MRS HINCH SS25 WILDFLOWER FABRIC CONDITIONING LIQUID 2.574L 78W***,2.574L,8840720,3.3,38,125.4,90,22.5,74.25,1.69,1.1
LENOR OUTDOORABLES FABtRIC CONDITIONER  SPRING AWAKENING***,462ML,8734188,1.46,0,0,0,0,0,0,0
LEPICOL POWDER,180g,2661445,8.19,7,57.33,3,0.75,6.14,9.33,0.55
LERCANIDIPINE TABLETS 10MG,28,1152396,0.95,8241,7828.95,1815,453.75,431.06,18.16,0.2
LERCANIDIPINE TABLETS 20MG,28,1152404,1.8,10676,19216.8,1489,372.25,670.05,28.68,0.13
LETROZOLE TABLETS 2.5MG,28,1195544,2.5,281,702.5,70,17.5,43.75,16.06,0.22
LETROZOLE TABLETS 2.5MG,14,1222843,0.87,0,0,0,0,0,0,0
LETS TRAVEL PERFUME ATOMISER - REFILLABLE SPRAY (MIXED COLOURS),4ML,8817744,0.92,258,237.36,144,36,33.12,7.17,0.44
LETSGETCHECKED COMPLETE 12*,,9768599,142.85,1,142.85,0,0,0,1,0
LETTER TO SANTA KIDS FUN SET (C24),XM7777,8718785,0.99,96,95.04,0,0,0,96,0
LETTER TO SANTA PACK WITH PENCIL &amp; ERASER TOPPER (C25),1,9457813,0.89,0,0,0,0,0,0,0
LEVETIRACETAM 100MG/ML SOLN,150ML,1245372,1,0,0,0,0,0,0,0
LEVETIRACETAM 100MG/ML SOLN,300,1213917,4,54,216,63,15.75,63,3.43,0.75
LEVETIRACETAM TABLETS 1000MG,60,1188044,3.5,416,1456,206,51.5,191.87,8.08,0.44
LEVETIRACETAM TABLETS 250MG,60,1164649,1.04,331,344.24,144,36,38.64,9.19,0.44
LEVETIRACETAM TABLETS 500MG,60,1201938,2.99,605,1808.95,369,92.25,276.27,6.56,0.59
LEVETIRACETAM TABLETS 750MG,60,1178771,2.7,213,575.1,70,17.5,49.87,12.17,0.3
LEVOCARNATINE 1.5G/5ML ORAL PAED SOL,20,1187087,14,12,168,0,0,0,12,0
LEVOCETIRIZINE TABLETS 5MG,30,1144492,2.36,0,0,0,0,0,0,0
LEVOFLOXACIN TABLETS 500MG,10,1161645,3.9,18,70.2,9,2.25,8.85,8,0.78
LEVOMEPROMAZINE 6MG TABS,28,1241116,242,21,5082,5,1.25,302.5,16.8,0.22
LEVONORGESTREL 1500MCG TAB (P),1,1201003,0.95,123,116.85,23,5.75,5.46,21.39,0.17
LEVONORGESTREL 1500MCG TAB (POM),1,3964905,0.95,12,11.4,0,0,0,12,0
LEVOTHYROXINE 100mcg TABLETS,28,1081165,0.25,10850,2712.5,5047,1261.75,315.43,8.6,0.4
LEVOTHYROXINE 100mcg TABLETS,1000,1022151,11,3,33,9,2.25,24.75,1.33,1.2
LEVOTHYROXINE 25mcg TABLETS,500,1095116,26,0,0,0,0,0,0,0
LEVOTHYROXINE 25mcg TABLETS,28,1098169,0.27,9739,2629.53,3965,991.25,267.63,9.82,0.34
LEVOTHYROXINE 50mcg TABLETS,28,1081579,0.25,10836,2709,4791,1197.75,299.43,9.05,0.38
LEVOTHYROXINE 50mcg TABLETS,1000,1022144,11,3,33,6,1.5,16.5,2,1.71
LEVOTHYROXINE SYR 100MCG/5ML,100,1181338,35,16,560,12,3,105,5.33,0.55
LEVOTHYROXINE SYR 25MCG/5ML,100,1181312,22,0,0,5,1.25,27.5,0,2
LEVOTHYROXINE SYR 50MCG/5ML,100,1181320,20,180,3600,47,11.75,235,15.32,0.23
LEVOTHYROXINE TABS 75MCG,28,1277789,1.7,396,673.2,759,189.75,322.57,2.09,1
LIFE-ON DERMA LIFE ,30,8794109,3.73,24,89.52,10,2.5,9.32,9.6,0.34
LIFE-ON MAMA LIFE ,30,8794117,2.59,190,492.1,2,0.5,1.29,380,0.01
LIFE-ON MENO LIFE ,30,8794125,2.96,11,32.56,22,5.5,16.28,2,1
LIFE-ON MULTI LIFE MULTI VITAMIN 50+,30,8794091,3.39,15,50.85,2,0.5,1.69,30,0.13
LIFE-ON OMEGA KID CHEWABLE TABLETS,30,8794141,3.88,3,11.64,0,0,0,3,0
LIFEPLAN B12 SUB-LINGUAL 1000MCG,30,9841065,3.35,21,70.35,9,2.25,7.53,9.33,0.35
LIFEPLAN GLUCOSAMINE 1500mg,90,2998763,7.99,2,15.98,0,0,0,2,0
LIFEPLAN JOINT ACT TURMERIC 1000MG ,90,9841206,6.47,12,77.64,6,1.5,9.7,8,0.4
LIFEPLAN MANUKA CAPSULES 15+,30,8827883,3.06,2,6.12,0,0,0,2,0
LIFEPLAN OATWELL ORIGINAL POWDER,150G,8827875,8.17,11,89.87,3,0.75,6.12,14.67,0.24
LIFEPLAN SEA KELP 400MG TABS,280,9462508,4.34,0,0,9,2.25,9.76,0,2
LIFEPLAN VIT C (TIME RELEASE) 1000MG,60,9505744,3.59,9,32.31,3,0.75,2.69,12,0.29
LIFEPLAN VITAMIN D3 1000IU CAPS,90,9836529,4.06,12,48.72,8,2,8.12,6,0.52
LIFEPLAN WIND AWAY CHARCOAL,30,9762238,2.7,0,0,9,2.25,6.07,0,2
LIGHT UP TUBE WITH WOODEN BASE - LAUGHTER HAPPINESS MEMORIES (C24),XM11663,8821142,4.49,125,561.25,0,0,0,125,0
LIL-LETS BABY COTTON WOOL BALLS - 100S,100s,8837965,0.97,120,116.4,0,0,0,120,0
LIL-LETS MATERNITY PADS 10s,10s,9893629,1.42,0,0,7,1.75,2.48,0,2
LIL-LETS NON APPLICATOR REGULAR,10,8734949,0.69,10,6.9,26,6.5,4.48,1.54,3.71
LIL-LETS NON APPLICATOR SUPER,10,574574,0.69,60,41.4,10,2.5,1.72,24,0.15
LIL-LETS SUPER SOFT NORMAL ULTRA + WINGS***,14s,8745796,0.65,8,5.2,0,0,0,8,0
LIL-LETS TEENS ULTRA DAY,14S,9621731,0.64,25,16,25,6.25,4,4,2
LIL-LETS TEENS ULTRA NIGHT,10S,9621749,0.64,55,35.2,60,15,9.6,3.67,2
LINWOODS FLAXSEED 3 SEED &amp; GOJI,425G,9478520,4.7,18,84.6,11,2.75,12.92,6.55,0.47
LINWOODS FLAXSEED NUTS &amp; CO-Q10 LRG,360G,9529363,4.7,60,282,52,13,55.97,4.62,1.37
LINWOODS FLAXSEED PROBIOTIC &amp; VIT D,360G,9648825,4.7,43,202.1,27,6.75,28.95,6.37,1.02
LINWOODS MILLED FLAX CHIA APPLE CIN,200G,9736992,3.14,0,0,0,0,0,0,0
LINWOODS MILLED FLAXSEED &amp; GOJI LRG,425G,9476805,4.29,20,85.8,20,5,21.65,4,1.18
LINWOODS MILLED ORIGINAL FLAX LRG,425G,9418088,3.37,27,90.99,38,9.5,33.34,2.84,2.71
LINWOODS OVERNIGHT OATS CHOCOLATE PROTEIN,300g,8808867,1.95,48,93.6,26,6.5,12.67,7.38,0.6
LINWOODS OVERNIGHT OATS ORIGINAL ENERGY,300g,8808859,1.95,13,25.35,33,8.25,16.08,1.58,1.16
LINWOODS OVERNIGHT OATS STRAWBERRY ENERGY,300g,8841181,2.79,0,0,0,0,0,0,0
LINWOODS S/FLOWER &amp; PUMPKIN SEED LRG,425G,9478512,4.7,27,126.9,6,1.5,7.05,18,0.2
LIOTHYRONINE 20MCG TABS,28,1136530,9.77,3,29.31,7,1.75,17.09,1.71,1.08
LIP SMACKER SALVE - COCA COLA CHERRY,1,8730319,1.28,39,49.92,0,0,0,39,0
LIP SMACKER SALVE - SPRITE,1,8730335,1.28,35,44.8,3,0.75,0.96,46.67,0.08
LIPANTIL MICRO 200MG CAPSULES,28,2518512,2.19,367,803.73,2,0.5,1.09,734,0.01
LIPANTIL MICRO 267MG CAPSULES,28,2517621,2.6,528,1372.8,12,3,7.8,176,0.03
LIPANTIL MICRO 67MG CAPSULES,90,2465334,4.63,70,324.1,0,0,0,70,0
LIPITOR 10MG TABLETS,28,2384253,0.2,0,0,0,0,0,0,0
LIPITOR 20MG TABLETS,28,2384279,0.25,0,0,0,0,0,0,0
LIPITOR 40MG TABLETS,28,2384287,1.95,0,0,0,0,0,0,0
LIQUID POWER SINK &amp; DRAIN UNBLOCKER 1LTR,1LTR,9514902,1.25,12,15,36,9,11.25,1.33,1.2
LIQUIVISC 0.25% EYE GEL,10ml,3011541,3.45,2,6.9,6,1.5,5.17,1.33,1.2
LISINOPRIL 10MG TABLETS,28,1103282,0.23,884,203.32,991,247.75,56.98,3.57,0.73
LISINOPRIL 2.5MG TABLETS,28,1103266,0.16,696,111.36,223,55.75,8.92,12.48,0.34
LISINOPRIL 20MG TABLETS,28,1103290,0.35,1756,614.6,981,245.25,85.83,7.16,0.44
LISINOPRIL 5MG TABLETS,28,1103274,0.19,897,170.43,522,130.5,15.99,6.87,0.62
LISINOPRIL HCTZ TABS 10/12.5mg,28,1113067,3.9,169,659.1,40,10,40.95,16.9,0.38
LISINOPRIL HCTZ TABS 20/12.5MG,28,1113075,3.5,139,486.5,60,15,65.4,9.27,0.64
LISTERINE ADVANCE DEFENCE GUM 500ML,500ML,9824020,2.5,90,225,36,9,22.5,10,0.75
LISTERINE COOLMINT EXTRA LRG,1LITRE,9652009,2.92,33,96.36,153,38.25,111.69,0.86,3.29
LISTERINE COOLMINT SMALL,250ML,2685618,1.21,87,105.27,84,21,25.41,4.14,1.04
LISTERINE FRESHBURST SMALL,250ML,9651993,1.21,91,110.11,36,9,10.89,10.11,0.42
LISTERINE SMARTRINSE KIDS BERRY,250ML,9494527,0.91,145,131.95,36,9,8.19,16.11,0.22
LISTERINE SMARTRINSE KIDS MINT,250ML,9494535,0.91,133,121.03,60,15,13.65,8.87,0.38
LISTERINE SPEARMINT SML,250ML,9790304,0.76,69,52.44,48,12,9.12,5.75,0.84
LISTERINE STAY WHITE LRG,500ML,9518143,2.19,126,275.94,42,10.5,22.99,12,0.38
LISTERINE STAY WHITE SML,250ML,9593419,1.68,12,20.16,48,12,20.16,1,8
LISTERINE TOOTH &amp; GUM DEFENSE LRG,500ML,9868894,2.19,84,183.96,30,7.5,16.42,11.2,0.48
LISTERINE TOTAL CARE CLEANMINT LRG,500ML,9475609,2.21,90,198.9,30,7.5,16.57,12,0.34
LISTERINE TOTAL CARE CLEANMINT SML,250ML,9475617,1.68,18,30.24,24,6,10.08,3,1.33
LISTERINE TOTAL CARE ZERO MOUTHWASH,500ML,9820911,2.21,48,106.08,24,6,13.26,8,0.4
LISTERINE ZERO ALCOHOL LRG,500ML,9607748,1.56,103,160.68,18,4.5,7.02,22.89,0.16
LITTLE LEAVES BIODEGRADABLE BABY WIPES 60PK,60s,8809626,0.47,92,43.24,90,22.5,10.57,4.09,0.69
LIVE COLOUR SEMI-PERMANENT - 092 PILLAR BOX RED,092,9662099,4.09,0,0,6,1.5,6.13,0,0
LIVE INTENSE COLOR 030 MANGO TWIST,030,9770009,4.07,0,0,3,0.75,3.05,0,0
LIVE INTENSE COLOR 035 REAL RED,035,2663946,4.07,6,24.42,18,4.5,18.31,1.33,6
LIVE INTENSE COLOR 043 RED PASSION,043,3042637,4.07,0,0,15,3.75,15.26,0,0
LIVE INTENSE COLOR 046 CYBER PURPLE,046,2836773,4.07,15,61.05,9,2.25,9.15,6.67,1.2
LIVE INTENSE COLOR 086 PURE PURPLE,086,9695933,4.07,18,73.26,0,0,0,18,0
LIVE INTENSE COLOR 087 MYSTIC VIOLET,087,9498551,4.07,3,12.21,15,3.75,15.26,0.8,2
LIVE INTENSE COLOR 088 URBAN BROWN,088,9695941,4.07,0,0,18,4.5,18.31,0,0
LIVE INTENSE COLOR 089 BITTER SWEET,089,2973519,4.07,12,48.84,18,4.5,18.31,2.67,3
LIVE INTENSE COLOR 090 COSMIC BLUE,090,9498544,4.07,9,36.63,6,1.5,6.1,6,0.67
LIVE INTENSE COLOR 099 DEEP BLACK,099,3042496,4.07,0,0,45,11.25,45.78,0,0
LIVE INTENSE COLOR 880 TEMPTING CHOCOLATE,880,8777955,4.07,6,24.42,33,8.25,33.57,0.73,11
LIVE INTENSE COLOR L76 ULTRA VIOLET,076,8777963,4.09,15,61.35,9,2.25,9.2,6.67,0.46
LIVE INTENSE LIGHTENER - 00A ABSOLUTE PLATINUM,00A,3042504,4.09,42,171.78,9,2.25,9.2,18.67,0.32
LIVE INTENSE LIGHTENER - 00B MAXIMUM BLONDE,00B,9586934,4.09,0,0,15,3.75,15.33,0,2.5
LIVE SILVER SHAMPOO 200ML,200ML,9915315,2.62,12,31.44,24,6,15.72,2,4
LIVE URBAN METALLICS - 069 AMETHYST CHROME,069,9842360,4.07,15,61.05,6,1.5,6.1,10,0.8
LIVE URBAN METALLICS - 071 METAL SILVER,071,9842337,4.07,0,0,0,0,0,0,0
LIVE URBAN METALLICS - U72 DUSTY SILVER,U72,9915299,4.07,3,12.21,6,1.5,6.1,2,1
LIVE URBAN METALLICS - U75 MIDNIGHT JADE,U75,8720914,4.09,42,171.78,3,0.75,3.06,56,0.07
LIVIAL TABLETS (DNR),28,430520,4.94,69,340.86,12,3,14.82,23,0.31
LIVIAL TABLETS (DNR) ,84,430769,13,0,0,0,0,0,0,0
LIXIANA 30MG TABLETS FILM-COATED 28,28,3978939,45.95,171,7857.45,180,45,2068.55,3.8,1.35
LIXIANA 60MG TABLETS FILM-COATED 28,28,3978947,45.95,114,5238.3,283,70.75,3250.96,1.61,2.77
LIZ EARLE PRO-BIOTEC BLANCING MILK CLEANSER ,200ML,8811838,4.6,7,32.2,21,5.25,24.15,1.33,1.2
LMD COSMETIC BEAUTIFUL BASE PRIMER 30ML,30ML,8763948,10.5,26,273,0,0,0,26,0
LMD COSMETICS 6PC GIFT SET (21),6PC,8723702,23.33,37,863.21,0,0,0,37,0
LMD COSMETICS GIMME THAT GLOSS - 5PC SET,SET,1030527,14.58,64,933.12,0,0,0,64,0
LMD COSMETICS HIGHLIGHTER DUO SET,,1030535,14.58,67,976.86,0,0,0,67,0
LODINE SR 600MG TABS,30,2031094,13,86,1118,25,6.25,81.25,13.76,0.26
LOFEPRAMINE 70MG TABLETS,56,1073485,25.02,69,1726.38,25,6.25,150,11.04,0.49
LOKELMA PWD SACH 10GM,30,4099941,284,2,568,2,0.5,142,4,0.67
LOOP RATTLE TEETHER TOY,1,8807737,2.3,11,25.3,1,0.25,0.57,44,0.09
LOPERAMIDE 2MG CAPSULES,30,1045335,0.3,5661,1698.3,1179,294.75,88.42,19.21,0.19
LOPERAMIDE 2MG CAPSULES (MA),6,1225176,0.26,4217,1096.42,534,133.5,34.71,31.59,0.12
LOPERAMIDE 2MG TABLETS,30,2253722,0.99,248,245.52,82,20.5,20.29,12.1,0.29
LORATADINE 10MG TABLETS GSL,30,3797180,0.29,782,226.78,544,136,39.44,5.75,0.52
LORATADINE 10MG TABS (P),30,1105071,0.22,6873,1512.06,728,182,40.04,37.76,0.1
LORATADINE 5MG/5ML SYRUP (P),100,1133255,1.79,209,374.11,47,11.75,21.03,17.79,0.2
LORAZEPAM 1MG TABLETS,28,1084482,1.2,192,230.4,233,58.25,71.55,3.3,1.08
LORAZEPAM 250MCG TABLETS,28,1264548,28,1,28,12,3,84,0.33,1.71
LORAZEPAM 500MCG TABLETS,28,1233923,6.5,62,403,62,15.5,100.75,4,0.66
LOREAL AGE PERFECT CELL RENEW DAY CREAM,50ML,8741316,9.36,9,84.24,3,0.75,7.02,12,0.67
LOREAL AGE PERFECT CELL RENEW DAY CREAM SPF30,50ML,8741308,9.36,13,121.68,2,0.5,4.84,26,0.18
LOREAL AGE PERFECT CELL RENEW MIDNIGHT REGENERATIVE CREAM,50ML,8803504,9.99,6,59.94,0,0,0,6,0
LOREAL AGE PERFECT CELL RENEW MIDNIGHT SERUM,30ML,8741324,9.99,11,109.89,1,0.25,2.49,44,0.18
LOREAL BEAUTY LIKE A BOSS 3PC GIFT SET (C21),3PCSET,8718744,8.43,4,33.72,0,0,0,4,0
LOREAL BEAUTY LIKE A BOSS 3PC GIFT SET (C22),3PCSET,8753493,9,3,27,0,0,0,3,0
LOREAL BRIGHT REVEAL UV FLUID SPF50 50ML,50ML,8810574,6.24,10,62.4,2,0.5,3.12,20,0.4
LOREAL CLASSIC COLLECTION (C22),2 PC,8753501,7.3,5,36.5,0,0,0,5,0
LOREAL ELVIVE AT HOME GLOSSING GIFT SET (C24),4 PIECE,8823346,16.25,3,48.75,0,0,0,3,0
LOREAL KIDS EXTRA GENTLE 2IN1 TROPICAL SHAMPOO,250ML,8738262,1.17,57953,67805.01,0,0,0,57953,0
LOREAL KIDS VERY BERRY STRAWBERRY CONDITIONER,250ML,8738254,1.17,39306,45988.02,0,0,0,39306,0
LOREAL KIDS VERY BERRY STRAWBERRY SHAMPOO,250ML,8738247,1.17,59976,70171.92,0,0,0,59976,0
LOREAL MAGIC RETOUCH BEIGE GOLDEN BROWN NO4,75ML,9785221,4.49,12,53.88,48,12,53.88,1,8
LOREAL MAGIC RETOUCH BLACK - NO1,75ML,9785197,4.49,0,0,48,12,53.88,0,0
LOREAL MAGIC RETOUCH BROWN (3),75ML,8699076,4.49,0,0,42,10.5,47.14,0,0
LOREAL MAGIC RETOUCH BROWN NO2,75ML,9785205,4.49,0,0,30,7.5,33.67,0,0
LOREAL MAGIC RETOUCH DARK BLONDE,75ML,8685216,4.65,0,0,24,6,27.9,0,0
LOREAL MAGIC RETOUCH DARK ROOTS MED 7.3,75ML,9915786,4.65,0,0,0,0,0,0,0
LOREAL MAGIC RETOUCH LIGHT GOLDEN BLONDE ,75ML,8808115,4.49,0,0,42,10.5,47.14,0,0
LOREAL MAGIC RETOUCH MEDIUM ICED BROWN (7),75ML,9785213,4.49,0,0,6,1.5,6.73,0,0
LOREAL MEN BARBER 3IN1 BEARD CREAM THICKEN,50ML,1027754,4.05,8,32.4,6,1.5,6.07,5.33,1.2
LOREAL MEN BARBER CLUB BEARD HAIR STYLING CREAM,75ML,9872144,2.49,10,24.9,14,3.5,8.71,2.86,2.8
LOREAL MEN BARBER CLUB BEARD OIL,30ML,9872128,4.05,27,109.35,9,2.25,9.11,12,0.67
LOREAL MEN BARBER CLUB FACE WASH,200ML,9872110,3.43,21,72.03,3,0.75,2.57,28,0.29
LOREAL MEN BARBER SHORT BEARD MOIST,50ML,9872136,3.65,0,0,0,0,0,0,0
LOREAL MEN DEOD 250ML CARBON PROTECT,250ML,9781022,2.39,72,172.08,24,6,14.34,12,0.5
LOREAL MEN DEOD 250ML COOL POWER 48 HOUR APD,250ML,8705477,2.39,156,372.84,24,6,14.34,26,0.14
LOREAL MEN DEOD 250ML FRESH EXTREME 48 HOUR APD ,250ML,8705469,2.39,132,315.48,24,6,14.34,22,0.17
LOREAL MEN DEOD 250ML INVINCIBLE SPORT,250ML,8692527,2.39,30,71.7,54,13.5,32.26,2.22,1
LOREAL MEN DEOD 250ML STOP STRESS RESIST (RED)***,250ML,1028026,2.39,42,100.38,6,1.5,3.58,28,0.13
LOREAL MEN DEOD 250ML THERMIC RESIST 48 HOUR APD,250ML,9781030,2.39,144,344.16,30,7.5,17.92,19.2,0.19
LOREAL MEN DEOD 250ML48HR SHIRT PROT,250ML,1028000,2.39,210,501.9,18,4.5,10.75,46.67,0.08
LOREAL MEN EXP ENERGY WASH,100ML,1027648,2.18,24,52.32,6,1.5,3.27,16,0.5
LOREAL MEN EXP VITALIFT 5 AG MOIST,50ML,1027655,4.37,19,83.03,2,0.5,2.18,38,0.1
LOREAL MEN EXP WRINKLE DECR MOIST,50ML,3102373,4.06,21,85.26,21,5.25,21.31,4,2
LOREAL MEN EXPERT CARBON PROTECT DUO SET (C24),2 PC,8794711,2.66,3,7.98,0,0,0,3,0
LOREAL MEN EXPERT COOL POWER DUO SET (C24),2 PC,8794737,2.66,9,23.94,0,0,0,9,0
LOREAL MEN EXPERT DEFENCE KIT GIFT SET (C24),4 PIECE,8823338,6.88,9,61.92,0,0,0,9,0
LOREAL MEN EXPERT HYDRA ENERGETIC ANTI FATIGUE EYE ROLL-ON,10ML,8735722,4.06,2,8.12,10,2.5,10.15,0.8,10
LOREAL MEN EXPERT HYDRA ENERGETIC DEEP EXF SCRUB,100ML,8804866,2.18,6,13.08,8,2,4.36,3,0.8
LOREAL MEN EXPERT HYDRA ENERGETIC MOISTURISER,50ML,3102894,3.66,44,161.04,12,3,10.98,14.67,0.32
LOREAL MEN EXPERT POWER HYRDA AGE 24HR REVITALISING MOISTURISER,50ML,8787814,5,0,0,0,0,0,0,0
LOREAL MEN EXPERT ROLL-ON 50ML 48HR SHIRT PROTECT,50ML,1028018,1.26,26,32.76,24,6,7.57,4.33,0.92
LOREAL MEN EXPERT ROLL-ON 50ML 48HR STRESS RESIST,50ML,1028034,1.26,37,46.62,18,4.5,5.56,8.22,0.82
LOREAL MEN EXPERT ROLL-ON 50ML BARBER CLUB,50ML,8800922,1.26,12,15.12,36,9,11.34,1.33,6
LOREAL MEN EXPERT ROLL-ON 50ML CARBON PROTECT,50ML,8705485,1.26,30,37.8,24,6,7.45,5,1.33
LOREAL MEN EXPERT ROLL-ON 50ML COOL POWER,50ML,8705501,1.26,0,0,60,15,18.9,0,0
LOREAL MEN EXPERT ROLL-ON 50ML EXTREME ROLL-ON,50ML,8735755,1.26,42,52.92,24,6,7.45,7,1
LOREAL MEN EXPERT ROLL-ON 50ML INVINCIBLE SPORT 96HRS,50ML,8705519,1.19,204,242.76,30,7.5,9.4,27.2,0.14
LOREAL MEN EXPERT ROLL-ON 50ML SPORT,50ML,8811861,1.34,0,0,0,0,0,0,0
LOREAL MEN EXPERT ROLL-ON 50ML THERMIC RESIST ,50ML,8705493,1.26,42,52.92,12,3,3.78,14,0.57
LOREAL MEN MAGNESIUM DEFENCE DEOD 250ML,250ML,8735821,2.39,159,380.01,30,7.5,17.92,21.2,0.17
LOREAL MEN MAGNESIUM DEFENCE MOISTURISER,,8735797,4.06,9,36.54,33,8.25,33.49,1.09,7.33
LOREAL MEN MAGNESIUM DEFENCE ROLL-ON,50ML,8735771,1.26,0,0,48,12,15.12,0,0
LOREAL MEN MAGNESIUM DEFENCE SHOWER 300ML,300ML,8735813,1.55,0,0,0,0,0,0,0
LOREAL MEN MAGNESIUM DEFENCE WASH,,8735805,1.72,9,15.48,15,3.75,6.45,2.4,3.33
LOREAL MEN SHOWER GEL BARBER CLUB,300ML,8680134,1.72,21,36.12,39,9.75,16.77,2.15,3.71
LOREAL MEN SHOWER GEL COOL POWER,300ML,9793118,1.55,0,0,0,0,0,0,0
LOREAL MEN SHOWER GEL HYDRA POWER,300ML,8747628,1.72,0,0,48,12,20.64,0,0
LOREAL MEN SHOWER GEL INVINCIBLE,300ML,9866484,1.72,0,0,72,18,30.96,0,0
