"Product Code","Barcode 1","On Order"
8820714,3616305433800,0
8820706,3616305433640,0
8823155,3616305827234,0
8705014,3614273887854,0
8822587,810101503993,0
8822595,810101504051,0
8711707,5050456003969,0
8822629,810101504006,0
8822611,810101503986,0
8822603,810101502637,0
8823510,3614274749779,24
8823239,3614274692693,42
8823254,3614274336979,0
8788671,3614273995689,0
8823270,3614274683615,42
8823247,3614274692785,24
8823262,3614274692730,12
8823288,3614274339178,0
9539081,3614274755893,24
1002278,9899999187691,0
9920695,3351500015030,0
8820938,3616305255198,70
8821944,8411061102176,200
9521410,8411061122464,30
8793887,8411061075227,0
8820698,3616306128996,18
8820672,3616306128958,18
8820680,3616306129016,24
8793200,3616303455156,0
8820730,3616305433725,0
8820748,3616305433855,0
8756322,3616301498100,0
8822082,3386460146968,0
8822074,3386460146937,30
8822108,3386460158787,54
9924416,3616301296881,0
8793341,3616303806101,0
8790107,8057971187294,0
8822769,8057971187317,6
8822819,,0
8822801,8054754400595,0
8822793,8054754400649,0
8795932,8057971187416,0
8822116,85715961044,0
8822124,85715961167,0
8822140,85715952189,0
8825119,085805260620,0
8825077,085805378004,0
8825093,085805377724,0
8825085,085805377687,0
8825101,085805259228,0
8713786,085805213411,0
8825127,085805260613,0
8825135,719346296984,0
8790206,7640233341971,0
8760274,7640233340561,0
8760282,7640233340639,0
8790198,7640233342701,6
8793820,3349668623518,0
8793838,3349668623549,0
8821795,3349668634996,140
8821787,3349668635030,0
8793226,085715675262,0
8822652,,0
9571944,,40
8800302,5050456000722,0
8822660,505456008568,50
8760167,5050456008933,0
8760142,5050456008919,40
8711756,5050456003389,0
8822645,,0
8760159,5050456008926,0
8822637,5050456008551,130
8831703,5050456008476,0
8825143,719346296595,0
9887555,8411061046203,0
,85715330208,0
8822157,85715349415,54
8822173,85715330215,80
8820870,3616305439567,0
9924523,3423478493056,0
8822728,,0
9416231,3423222119669,6
8827974,3423222106508,16
8824468,6294015186390,0
8790388,6294015163773,120
8824435,6294015163797,100
9606435,6294015186413,100
8790396,6294015163803,120
9616988,6295199805831,40
8824450,6294015174564,70
8824385,6294015163810,140
8824377,6294015163827,90
9486549,6295199805848,100
8790370,6294015142648,200
8824393,6294015163834,50
8824427,6294015163841,120
8824419,6294015163858,0
,,100
9510074,,0
8717910,6294015142600,160
8717860,6294015142617,48
8790404,6294015142624,140
8717878,6294015142655,0
9526997,6295199805879,24
9458050,6295199805886,48
8824500,6294015191509,0
8824484,6294015191448,0
8824476,6294015191417,0
8831919,6294015191431,0
8824492,6294015191455,0
8824534,6294015191745,24
9510132,6294015191783,24
8824542,6294015191769,24
9451212,6295199805862,48
9515784,6295199808528,24
9444621,6294015191752,24
8824526,6294015191387,0
8824518,6294015153347,0
8722829,6294015142327,0
9923475,6294015130508,0
8790362,6294015109962,0
8722837,6294015142334,0
8822199,3386460157544,36
8789729,3386460140843,0
8789737,3386460140867,0
8754756,3386460170079,54
8822207,3386460157612,48
8822181,3386460157490,36
8789711,3386460139793,0
9616954,3386460142670,0
8821910,8435415098939,36
,8435415084963,0
8821928,8435415098915,0
8821936,8435415098922,24
8793879,8435415077576,0
8792129,8435415086837,0
8821894,8435415098762,24
,8435415085151,0
9520701,4064941176527,60
9604422,4064941184836,120
8829830,4064941116233,120
8821761,3349668635276,180
8821779,3349668635313,0
8824062,3614274331110,0
8824054,3614274331134,0
8824039,3614274330663,0
8824047,3614274330243,0
8824021,3614274338980,0
8788820,3616303473044,0
8820763,3616305449627,60
8820755,3616305449603,200
8820797,3616305449696,300
8820789,3616305449672,70
8820771,3616305449641,70
8788846,3616303473143,0
8820813,3616305449788,0
8788838,3616303473129,0
8820805,3616305449771,36
8788812,3616303473020,0
8788804,3616303472993,0
8756595,3616303455941,0
8756611,3616303455897,0
8823858,3614274707434,126
8823841,3614274707427,48
9433830,3614274710601,36
8786881,3614274102475,0
8823833,3614274330137,0
8786907,3614274102680,0
8823825,3614274707397,12
8786865,3614274102086,0
8823817,3614274707380,48
9464504,3614274710618,12
8822694,3423222110802,0
8822702,3423222110857,0
8799017,3423222092528,0
8822710,3423222110758,6
9489519,3423222133825,12
8829186,3423222110734,0
8830150,5060565384347,0
8830143,5060565384330,0
8830135,5060565384316,0
8711616,3349668608294,0
8821803,3349668635368,90
8821811,3349668635399,0
8823874,3614274642001,90
8823866,3614274641998,48
9537325,3614274642018,33
8793325,8436581946246,0
8798050,8436581946239,0
8789703,8056860213632,12
9538992,810023679264,150
9621947,810023679271,100
9658436,810023679288,150
9539008,810023679257,200
8793176,5060426157424,0
8825176,5060426158537,0
8825192,5060426154027,0
8820912,3616305448170,0
8820904,3616305448156,0
8820896,3616305448149,0
8822686,7640496671662,0
8823601,3614274305432,0
8823619,3614274652956,36
8831992,3614274078640,0
9924325,3614273854115,0
8823528,3614274680133,6
8823536,3614274680126,18
9517921,3614274680119,6
8790040,3616304226182,0
8747313,3616303456498,0
8835225,3614274399905,0
8823981,3614274638400,24
8805301,3614274122190,0
8823999,3614274638387,12
8773590,3614273956796,0
8835233,3614274400014,0
8835258,3614274400083,0
8786980,3614274093179,0
8823957,3614274638349,24
8805319,3614274122978,0
8835241,3614274400069,0
8824005,3614274638301,18
8805368,3614274121391,0
8824013,3614274638271,6
8831026,3423222086602,0
8822751,3423222106799,6
8790131,3423222086589,0
9667791,3423222124311,6
8793218,3616302029785,0
8751208,3614273852852,0
8821753,3349668634828,80
8793143,3349668623792,0
8821746,3349668634897,400
8793135,3349668623754,0
8823163,3616305827265,0
8823320,3614274692655,12
8823312,3614274692495,0
8823304,3614274337167,0
9537317,3614274692594,6
8823502,3614274692518,24
8823486,3614274337075,0
9517913,3614274692570,6
8823478,3614274692587,12
9573254,3614274692563,15
8823494,3614274692556,24
9493628,3614274693553,12
8823296,3614274692549,12
9537333,3614274668476,18
8788911,3616304197833,0
8788937,3616304679773,0
8788952,3616304198021,0
9604414,3616306727809,18
8820946,3616305255242,42
8727091,5050456003778,0
8788788,3616304678493,0
8820722,3616305433688,0
8825184,3616304678257,0
8788770,3616304678127,0
8822066,3386460157063,24
8822090,3386460148856,0
8822785,8057971185443,0
8822777,8054754400625,6
8832263,8057971185405,0
8790081,3616305439727,0
8790065,3616303473983,0
8790073,3616303474133,0
8822256,3616305254948,0
8790057,3616303473969,0
8786857,3614274078688,0
8831901,3614273955454,0
8823932,3614274319859,0
8786840,3614274078671,0
8712010,3614273842983,0
8831935,3614274319880,0
8747305,3616303795238,0
8747271,3616303795207,0
9546896,7640233342749,12
8815904,0745314593120,0
8815912,0745314593137,0
8815920,0745314593144,0
8816001,0745314593243,0
8815995,0745314593250,0
8820839,3616305439451,36
8820821,3616305439437,150
9604406,3616305276315,60
