Product Name,Pack,Code,barcode1,Stock Level,Weeks of Stock (supplied),Stock Status,On Order,binLocation
AA ARMANI CODE EDP 75ML + 15ML TS (P25),2PCE,8823510,3614274749779,0,0,Red,TRUE,BAZK3
AA ARMANI MY WAY EDP 30ML + 10ML PS (P25),2PC,8823239,3614274692693,0,0,Red,TRUE,BAZF4
AA ARMANI MY WAY EDP 50ML + 10ML PS (P24)***,2PCE,8823254,3614274336979,0,0,Red,FALSE,
AA ARMANI SI 100ml EDP 3 PCE SET (S23),SET,8788671,3614273995689,0,0,Red,FALSE,
AA ARMANI SI EDP 30ML + 10ML PS (P25),2PCE,8823270,3614274683615,0,0,Red,TRUE,BAZG3
AA ARMANI SI EDP 50ML + 10ML PS (P25),2PCE,8823247,3614274692785,0,0,Red,TRUE,BAZP4
AA ARMANI SI PASSIONE EDP 50ML + 10ML PS (P25),2PCE,8823262,3614274692730,4,4,Green,TRUE,BAZG5
AA ARMANI SI TRIO 3X15ML EDP (P24),TRIO2024,8823288,3614274339178,0,0,Red,FALSE,BAZK4
AA ARMANI SI TRIO 3X15ML EDP (P25),TRIO,9539081,3614274755893,0,0,Red,TRUE,
AA AZZARO  WANTED BY NIGHT 20,50ML,1002278,9899999187691,0,0,Red,FALSE,
AA AZZARO WANTED GIRL 19,30ML,9920695,3351500015030,0,0,Red,FALSE,BAZM3
AA BURBERRY GODDESS EDP 50ML &amp; BODY LOTION 2PC SET (P25),2PC,8820938,3616305255198,2,2,Green,TRUE,BAZN3
AA CAROLINA HERRERA GOOD GIRL EDP 50ML + BODY MIST + PURSE SPRAY (P25),3PCE,8821944,8411061102176,0,0,Red,TRUE,BAZO4
AA CAROLINA HERRERA LA BOMBA EDP 50ML + BODY LOTION + PURSE SPRAY (P25),3PCE,9521410,8411061122464,0,0,Red,TRUE,
AA CH GOOD GIRL EDP 50ML 3 PCE SET (P23),3 PCE,8793887,8411061075227,0,0,Red,FALSE,BAZO4
AA CHLOE NOMADE EDP 50ML &amp; BODY LOTION 2PC SET (P25),SET,8820698,3616306128996,0,0,Red,TRUE,BAZI3
AA CHLOE SIGNATURE EDP 50ML+ BODY LOTION 2 PCE SET (P25),SET,8820672,3616306128958,0,0,Red,TRUE,bazi2
AA CHLOE SIGNATURE INTENSE EDP 50ML+ BODY LOTION 2 PCE SET (P24),SET,8820680,3616306129016,0,0,Red,TRUE,BAZJ3
AA CK ETERNITY FOR HER 50ML EDP 3PC SET (P23),50ML,8793200,3616303455156,0,0,Red,FALSE,BAZN4
AA CK ETERNITY WOMAN 50ML EDP 3PC SET (P24)***,50ML,8820730,3616305433725,0,0,Red,FALSE,BAZN4
AA CK EUPHORIA  WOMAN EDP 50ML &amp; BODY LOTION 2PC SET (P24)***,50ML,8820748,3616305433855,0,0,Red,FALSE,BAZN5
AA CK EVERYONE 50ML EDT 2PC SET P22,2PC,8756322,3616301498100,2,2,Green,FALSE,BAZO3
AA COACH LOVE EDP 50ML + 7.5ML TRAVEL SPRAY (P24)***,2PC,8822082,3386460146968,0,0,Red,FALSE,BAZN4
AA COACH WILD ROSE EDP 50ML + 7.5ML TRAVEL SPRAY (P25),2PC,8822074,3386460146937,0,0,Red,TRUE,
AA COACH WOMAN GOLD EDP 50ML + 7.5ML TRAVEL SPRAY (P25),2PC,8822108,3386460158787,0,0,Red,TRUE,
AA COOLWATER WOMAN 30ML 2 PCE 21,30ML,9924416,3616301296881,2,2,Green,FALSE,BAZK4
AA COOLWATER WOMENS 30ML 2PC SET (P23),SET,8793341,3616303806101,1,1,Green,FALSE,BAZN3
AA D&amp;G DEVOTION EDP 50ML + 10ML TRAVEL SPRAY (P24),2PC,8790107,8057971187294,1,1,Green,FALSE,BAZL4
AA D&amp;G DEVOTION EDP 50ML + MINI MASCARA + TS (P25),3PCE,8822769,8057971187317,1,1,Green,TRUE,bazh2
AA D&amp;G LIGHT BLUE EDT 50ML + 10ML TS SET (P24),2PCE,8822819,,0,0,Red,FALSE,
AA D&amp;G LIGHT BLUE EDT 50ML + CANDLE + MINI EDT SET (P24),3PCE,8822801,8054754400595,0,0,Red,FALSE,
AA D&amp;G Q EDP 50ML + 5ML MINI SET (P24),2PEC,8822793,8054754400649,5,5,Green,FALSE,BAZI3
AA D&amp;G Q EDP 50ML 2 PCE SET (P23),SET,8795932,8057971187416,4,4,Green,FALSE,BAZK5
AA DKNY 24/7 EDP 50ML + 15ML EDP TRAVEL SPRAY (P24),2PC,8822116,85715961044,0,0,Red,FALSE,BAZP5
AA DKNY BE DELICIOUS 30ML EDP + 100ML BODY LOTION (P24),2PC,8822124,85715961167,0,0,Red,FALSE,BAZG5
AA DKNY ORIGINAL WOMEN 100ML EDT + 100ML BODY LOTION (P24),2PC,8822140,85715952189,0,0,Red,FALSE,BAZO3
AA E ARDEN 5TH AVE 125ML EDT 2PC SET (P24),SET,8825119,085805260620,0,0,Red,FALSE,BAZI3
AA E ARDEN EIGHT HOUR ENTRY NOURISHING SKIN ESSENTIALS 3 PCE SET (P24),SET(WHITE),8825077,085805378004,0,0,Red,FALSE,BAZJ3
AA E ARDEN EIGHT HOUR MIRACLE OIL 3 PCE SET (P24),SET,8825093,085805377724,0,0,Red,FALSE,
AA E ARDEN EIGHT HOUR SKIN ESSENTIALS 3 PCE SET (P24),SET,8825085,085805377687,0,0,Red,FALSE,BAZH4
AA E ARDEN GRAND ENTRANCE MASCARA 3 PCE SET (P24),SET,8825101,085805259228,0,0,Red,FALSE,BAZK3
AA E ARDEN SUNFLOWERS 100ML EDT MASS SET  (P22),SET,8713786,085805213411,0,0,Red,FALSE,BAZO3
AA E ARDEN SUNFLOWERS EDT 2PC SET (P24),SET,8825127,085805260613,0,0,Red,FALSE,
AA E ARDEN WHITE DIAMONDS 50ML EDT 4PC SET (P24),SET,8825135,719346296984,0,0,Red,FALSE,BAZG4
AA ELIE SAAB ELIXIR EDP 50ML + 10ML TSPRAY (P23),2PC,8790206,7640233341971,3,3,Green,FALSE,BAZJ4
AA ELIE SAAB GIRL OF NOW 50ML 2 PCE SET (P22),50ML,8760274,7640233340561,0,0,Red,FALSE,BAZM3
AA ELIE SAAB LE PARFUM 2 PCE SET (P22),50ML,8760282,7640233340639,0,0,Red,FALSE,BAZL3
AA ELIE SAAB LE PARFUM EDP 50ML SET (P25),SET,8790198,7640233342701,0,0,Red,TRUE,
AA FAME 50ML EDP 3 PCE SET (P23),3 PCE,8793820,3349668623518,0,0,Red,FALSE,BAZJ5
AA FAME 80ML EDP 3 PCE SET (P23),3 PCE,8793838,3349668623549,0,0,Red,FALSE,BAZH3
AA FAME EDP 50ML + 100ML BODY LOTION + 10ML PS (P25),3PCE,8821795,3349668634996,0,0,Red,TRUE,BAZO5
AA FAME EDP 80ML + 100ML BODY LOTION + 10ML PS (P25),3PCE,8821787,3349668635030,0,0,Red,FALSE,BAZO3
AA FCUK FRICTION 100ML EDT 3PC SET (P23),SET,8793226,085715675262,3,3,Green,FALSE,BAZI3
AA GHOST 30ML EDT + SOAP &amp; DEODORANT (P24),3PCE,8822652,,0,0,Red,FALSE,
AA GHOST DEEP NIGHT EDT 50ML +50ML + ELIXIR 10ML SET (P25),3PC,9571944,,0,0,Red,TRUE,
AA GHOST EDT 30ML 2PC SET (P23),SET,8800302,5050456000722,0,0,Red,FALSE,BAZP3
AA GHOST MINI MOON COLLECTION (P25),TRIO,8822660,505456008568,1,4,Green,TRUE,BAZO5
AA GHOST ORB OF THE NIGHT 30ML SET (P22),,8760167,5050456008933,0,0,Red,FALSE,BAZL3
AA GHOST ORIGINAL EDT 30ML SET (P25),2PC,8760142,5050456008919,0,0,Red,TRUE,BAZG3
